"Désignation éprouvette"	"S25D2"
"Temps"	"Force standard"	"Course standard"
"s"	"N"	"mm"
88,6946	68,6248	0,431764
88,7946	68,6988	0,432264
88,8946	68,7791	0,43278
88,9946	68,8626	0,433265
89,0946	68,9263	0,433768
89,1946	69,0181	0,434264
89,2946	69,0953	0,434764
89,3946	69,185	0,435277
89,4946	69,2413	0,435766
89,5946	69,2936	0,436271
89,6946	69,3825	0,436768
89,7946	69,4517	0,437259
89,8946	69,5253	0,437775
89,9946	69,6138	0,438263
90,0946	69,665	0,43876
90,1946	69,7543	0,439265
90,2946	69,8529	0,439759
90,3946	69,9315	0,440275
90,4446	69,9778	0,440522
90,5446	70,016	0,440685
90,6446	69,9834	0,440685
90,7446	69,9698	0,440576
90,8446	69,9663	0,440017
90,9446	69,9441	0,439521
91,0446	69,8736	0,439013
91,1446	69,814	0,438516
91,2446	69,7632	0,438016
91,3446	69,7002	0,437509
91,4446	69,6347	0,43702
91,5446	69,5613	0,436518
91,6446	69,5548	0,436021
91,7446	69,5449	0,435516
